iter	Passed	Remaining
485	3399	3595
486	3405	3587
487	3413	3581
488	3420	3573
489	3427	3567
490	3435	3560
491	3441	3553
492	3449	3547
493	3456	3540
494	3464	3534
495	3471	3527
496	3478	3520
497	3485	3513
498	3492	3506
499	3501	3501
500	3508	3494
501	3515	3487
502	3524	3482
503	3532	3476
504	3538	3468
505	3545	3461
506	3552	3454
507	3559	3447
508	3568	3442
509	3575	3435
510	3582	3428
511	3589	3420
512	3596	3414
513	3603	3407
514	3612	3401
515	3618	3394
516	3626	3387
517	3633	3380
518	3640	3373
519	3648	3367
520	3654	3360
521	3663	3354
522	3670	3347
523	3678	3341
524	3685	3334
525	3695	3329
526	3703	3324
527	3712	3318
528	3719	3312
529	3727	3305
530	3734	3298
531	3741	3291
532	3749	3284
533	3756	3277
534	3764	3271
535	3771	3264
536	3779	3258
537	3786	3251
538	3793	3244
539	3800	3237
540	3807	3230
541	3816	3224
542	3822	3217
543	3830	3210
544	3836	3203
545	3844	3196
546	3851	3189
547	3857	3181
548	3866	3175
549	3872	3168
550	3880	3162
551	3887	3154
552	3895	3148
553	3901	3140
554	3908	3133
555	3916	3127
556	3923	3120
557	3930	3113
558	3936	3105
559	3944	3099
560	3951	3092
561	3957	3084
562	3964	3077
563	3971	3070
564	3979	3064
565	3986	3056
566	3995	3050
567	4002	3044
568	4009	3037
569	4016	3030
570	4024	3023
571	4031	3016
572	4038	3009
573	4047	3003
574	4054	2996
575	4062	2990
576	4069	2983
577	4076	2976
578	4083	2969
579	4091	2962
580	4098	2955
581	4105	2948
582	4113	2942
583	4120	2935
584	4128	2928
585	4135	2921
586	4143	2915
587	4151	2908
588	4158	2901
589	4166	2895
590	4172	2887
591	4180	2880
592	4186	2873
593	4195	2867
594	4202	2860
595	4209	2853
596	4216	2846
597	4223	2839
598	4230	2832
599	4237	2825
600	4246	2819
601	4253	2811
602	4261	2805
603	4268	2798
604	4276	2791
605	4283	2784
606	4290	2777
607	4297	2770
608	4303	2763
609	4311	2756
610	4318	2749
611	4327	2743
612	4333	2735
613	4340	2728
614	4347	2721
615	4353	2714
616	4361	2707
617	4368	2700
618	4375	2693
619	4382	2685
620	4389	2679
621	4397	2672
622	4404	2665
623	4414	2659
624	4423	2654
625	4431	2647
626	4437	2639
627	4444	2632
628	4451	2625
629	4458	2618
630	4464	2610
631	4471	2603
632	4478	2596
633	4485	2589
634	4493	2582
635	4500	2575
636	4508	2568
637	4514	2561
638	4521	2554
639	4527	2546
640	4534	2539
641	4541	2532
642	4547	2524
643	4554	2517
644	4561	2510
645	4568	2503
646	4576	2496
647	4582	2489
648	4590	2482
649	4597	2475
650	4605	2468
651	4612	2461
652	4619	2454
653	4628	2448
654	4635	2441
655	4643	2434
656	4649	2427
657	4657	2420
658	4664	2413
659	4672	2406
660	4678	2399
661	4685	2392
662	4692	2385
663	4698	2377
664	4705	2370
665	4713	2363
666	4720	2356
667	4728	2349
668	4735	2342
669	4742	2335
670	4749	2328
671	4757	2322
672	4764	2315
673	4771	2308
674	4778	2300
675	4785	2293
676	4792	2286
677	4799	2279
678	4806	2272
679	4812	2264
680	4820	2258
681	4827	2250
682	4834	2243
683	4842	2236
684	4849	2229
685	4857	2223
686	4864	2216
687	4872	2209
688	4878	2202
689	4886	2195
690	4893	2188
691	4900	2181
692	4908	2174
693	4915	2167
694	4922	2160
695	4929	2153
696	4937	2146
697	4944	2139
698	4951	2132
699	4958	2124
700	4964	2117
701	4972	2110
702	4979	2103
703	4988	2097
704	4994	2090
705	5003	2083
706	5010	2076
707	5017	2069
708	5024	2062
709	5032	2055
710	5040	2048
711	5046	2041
712	5054	2034
713	5061	2027
714	5069	2020
715	5076	2013
716	5084	2006
717	5090	1999
718	5097	1992
719	5105	1985
720	5111	1978
721	5120	1971
722	5126	1964
723	5134	1957
724	5141	1950
725	5148	1943
726	5155	1936
727	5162	1928
728	5170	1922
729	5177	1915
730	5186	1908
731	5193	1901
732	5200	1894
733	5208	1887
734	5214	1880
735	5222	1873
736	5229	1866
737	5238	1859
738	5244	1852
739	5252	1845
740	5259	1838
741	5265	1830
742	5272	1823
743	5279	1816
744	5288	1810
745	5295	1802
746	5302	1795
747	5309	1788
748	5318	1782
749	5326	1775
750	5334	1768
751	5341	1761
752	5348	1754
753	5355	1747
754	5362	1740
755	5370	1733
756	5376	1726
757	5385	1719
758	5392	1712
759	5400	1705
760	5406	1698
761	5413	1690
762	5421	1683
763	5428	1676
764	5435	1669
765	5442	1662
766	5450	1655
767	5457	1648
768	5464	1641
769	5471	1634
770	5478	1627
771	5486	1620
772	5493	1613
773	5501	1606
774	5508	1599
775	5516	1592
776	5523	1585
777	5532	1578
778	5538	1571
779	5545	1564
780	5554	1557
781	5561	1550
782	5568	1543
783	5574	1535
784	5583	1529
785	5590	1522
786	5599	1515
787	5605	1508
788	5611	1500
789	5619	1493
790	5626	1486
791	5634	1479
792	5640	1472
793	5647	1465
794	5654	1458
795	5661	1450
796	5670	1444
797	5676	1436
798	5684	1430
799	5691	1422
800	5699	1416
801	5706	1408
802	5713	1401
803	5720	1394
804	5728	1387
805	5736	1380
806	5743	1373
807	5751	1366
808	5757	1359
809	5765	1352
810	5772	1345
811	5778	1337
812	5785	1330
813	5792	1323
814	5798	1316
815	5805	1309
816	5811	1301
817	5819	1294
818	5826	1287
819	5834	1280
820	5841	1273
821	5850	1266
822	5856	1259
823	5864	1252
824	5871	1245
825	5878	1238
826	5885	1231
827	5892	1224
828	5901	1217
829	5908	1210
830	5916	1203
831	5924	1196
832	5933	1189
833	5940	1182
834	5949	1175
835	5957	1168
836	5966	1161
837	5974	1155
838	5983	1148
839	5992	1141
840	6005	1135
841	6018	1129
842	6026	1122
843	6035	1115
844	6044	1108
845	6057	1102
846	6065	1095
847	6073	1088
848	6080	1081
849	6091	1074
850	6099	1067
851	6108	1061
852	6116	1054
853	6125	1047
854	6134	1040
855	6142	1033
856	6151	1026
857	6160	1019
858	6170	1012
859	6181	1006
860	6188	999
861	6196	992
862	6205	985
863	6213	978
864	6222	971
865	6232	964
866	6241	957
867	6250	950
868	6259	943
869	6268	936
870	6279	930
871	6287	922
872	6295	915
873	6304	908
874	6312	901
875	6321	894
876	6331	887
877	6339	880
878	6348	873
879	6356	866
880	6367	860
881	6375	852
882	6384	845
883	6392	838
884	6400	831
885	6407	824
886	6416	817
887	6423	810
888	6432	803
889	6439	795
890	6447	788
891	6454	781
892	6464	774
893	6471	767
894	6480	760
895	6487	753
896	6495	745
897	6502	738
898	6510	731
899	6517	724
900	6525	717
901	6534	709
902	6540	702
903	6548	695
904	6556	688
905	6564	681
906	6571	673
907	6578	666
908	6585	659
909	6592	652
910	6600	644
911	6607	637
912	6614	630
913	6622	623
914	6629	615
915	6635	608
916	6645	601
917	6651	594
918	6659	586
919	6666	579
920	6673	572
921	6680	565
922	6687	557
923	6695	550
924	6701	543
925	6710	536
926	6717	528
927	6724	521
928	6730	514
929	6738	507
930	6745	499
931	6752	492
932	6761	485
933	6768	478
934	6775	471
935	6782	463
936	6789	456
937	6796	449
938	6802	441
939	6811	434
940	6818	427
941	6826	420
942	6833	413
943	6841	405
944	6848	398
945	6856	391
946	6863	384
947	6870	376
948	6877	369
949	6885	362
950	6893	355
951	6899	347
952	6907	340
953	6914	333
954	6920	326
955	6928	318
956	6935	311
957	6944	304
958	6951	297
959	6959	289
960	6966	282
961	6975	275
962	6982	268
963	6990	261
964	6997	253
965	7003	246
966	7011	239
967	7018	232
968	7027	224
969	7034	217
970	7041	210
971	7047	203
972	7056	195
973	7063	188
974	7070	181
975	7078	174
976	7085	166
977	7093	159
978	7100	152
979	7108	145
980	7115	137
981	7123	130
982	7130	123
983	7136	116
984	7144	108
985	7151	101
986	7158	94
987	7165	87
988	7174	79
989	7181	72
990	7189	65
991	7196	58
992	7203	50
993	7209	43
994	7216	36
995	7224	29
996	7231	21
997	7239	14
998	7247	7
999	7255	0
